"zip","type","primary_city","state","county","latitude","longitude","population"
"77360","STANDARD","Onalaska","TX","Polk County",30.8,-95.1,4272
"77362","STANDARD","Pinehurst","TX","Montgomery County",30.18,-95.7,4354
"77363","STANDARD","Plantersville","TX","Grimes County",30.3,-95.84,2510
"77364","STANDARD","Pointblank","TX","San Jacinto County",30.76,-95.25,1812
"77365","STANDARD","Porter","TX","Montgomery County",30.1,-95.29,19154
"77371","STANDARD","Shepherd","TX","San Jacinto County",30.49,-95,5949
"77372","STANDARD","Splendora","TX","Montgomery County",30.23,-95.16,10037
"77373","STANDARD","Spring","TX","Harris County",30.06,-95.38,45945
"77375","STANDARD","Tomball","TX","Harris County",30.09,-95.61,29021
"77377","STANDARD","Tomball","TX","Harris County",30.09,-95.61,25726
"77378","STANDARD","Willis","TX","Montgomery County",30.42,-95.47,11903
"77379","STANDARD","Spring","TX","Harris County",30.06,-95.38,63002
"77380","STANDARD","Spring","TX","Montgomery County",30.06,-95.38,19705
"77381","STANDARD","Spring","TX","Montgomery County",30.06,-95.38,36390
"77382","STANDARD","Spring","TX","Montgomery County",30.06,-95.38,30301
"77384","STANDARD","Conroe","TX","Montgomery County",30.32,-95.47,9899
"77385","STANDARD","Conroe","TX","Montgomery County",30.32,-95.47,15757
"77386","STANDARD","Spring","TX","Montgomery County",30.06,-95.38,23698
"77388","STANDARD","Spring","TX","Harris County",30.06,-95.38,35525
"77389","STANDARD","Spring","TX","Harris County",30.06,-95.38,16302
"77396","STANDARD","Humble","TX","Harris County",29.99,-95.26,26244
"77399","UNIQUE","Livingston","TX","Polk County",30.7,-94.93,12956
"77401","STANDARD","Bellaire","TX","Harris County",29.7,-95.46,17024
"77406","STANDARD","Richmond","TX","Fort Bend County",29.58,-95.76,1470
"77407","STANDARD","Richmond","TX","Fort Bend County",29.68,-95.7,2298
"77414","STANDARD","Bay City","TX","Matagorda County",28.97,-95.96,18319
"77417","STANDARD","Beasley","TX","Fort Bend County",29.49,-95.91,1713
"77418","STANDARD","Bellville","TX","Austin County",29.94,-96.25,8558
"77420","STANDARD","Boling","TX","Wharton County",29.23,-95.98,2231
"77422","STANDARD","Brazoria","TX","Brazoria County",29.04,-95.56,11912
"77423","STANDARD","Brookshire","TX","Waller County",29.78,-95.95,6930
"77426","STANDARD","Chappell Hill","TX","Washington County",30.19,-96.21,1892
"77429","STANDARD","Cypress","TX","Harris County",29.96,-95.69,60562
"77430","STANDARD","Damon","TX","Brazoria County",29.27,-95.72,2125
"77432","STANDARD","Danevang","TX","Wharton County",29.08,-96.17,455
"77433","STANDARD","Cypress","TX","Harris County",29.96,-95.69,28026
"77434","STANDARD","Eagle Lake","TX","Colorado County",29.58,-96.32,4193
"77435","STANDARD","East Bernard","TX","Wharton County",29.52,-96.06,4673
"77437","STANDARD","El Campo","TX","Wharton County",29.19,-96.27,15721
"77441","STANDARD","Fulshear","TX","Fort Bend County",29.69,-95.88,3830
"77442","STANDARD","Garwood","TX","Colorado County",29.45,-96.51,892
"77444","STANDARD","Guy","TX","Brazoria County",29.33,-95.76,793
"77445","STANDARD","Hempstead","TX","Waller County",30.09,-96.08,9561
"77447","STANDARD","Hockley","TX","Harris County",30.04,-95.81,9436
"77448","STANDARD","Hungerford","TX","Wharton County",29.39,-96.08,757
"77449","STANDARD","Katy","TX","Harris County",29.79,-95.82,71181
"77450","STANDARD","Katy","TX","Harris County",29.79,-95.82,66563
"77455","STANDARD","Louise","TX","Wharton County",29.18,-96.42,1904
"77459","STANDARD","Missouri City","TX","Fort Bend County",29.57,-95.53,51869
"77461","STANDARD","Needville","TX","Fort Bend County",29.39,-95.83,9138
"77465","STANDARD","Palacios","TX","Matagorda County",28.71,-96.23,6161
"77468","STANDARD","Pledger","TX","Matagorda County",29.17,-95.89,232
"77469","STANDARD","Richmond","TX","Fort Bend County",29.58,-95.76,63541
"77470","STANDARD","Rock Island","TX","Colorado County",29.56,-96.59,301
"77471","STANDARD","Rosenberg","TX","Fort Bend County",29.54,-95.79,28811
"77474","STANDARD","Sealy","TX","Austin County",29.77,-96.15,11625
